id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
6428,69,69.5,1997,0,10.5558127386,8,432.2205143165,0.0021633896,0.4642857143
6433,84,90.5,2004,0,24.9417603231,15,852.0879567983,0.0035413871,0.2095238095
64344,95,95,2005,0,0,0,0,0.0003438001,0
64672,65,72.5,1998,0,0,0,0,0.0003438001,0
64732,68,68,2013,0,0,0,0,0.0003438001,0
650,63,71.5,1997,3,3.5835189385,3,75.1303190491,0.0013743836,0.3333333333
653252,55,58.5,2012,4,26.1339451717,12,319.4356382649,0.0027487051,0.4242424242
6540,29,59.75,2007,4,4.9698132996,4,68.0602604601,0.0011753365,0.1666666667
6572492,48,61,2017,0,0,0,0,0.0003438001,0
66156,46,66,1997,0,0,0,0,0.0003438001,0
6627,74,74,1997,0,19.3098156721,16,346.1444774683,0.0034828196,0.3083333333
66733,31,49.57143,2003,7,13.7462890889,6,175.8056034832,0.0017929466,0.2666666667
66825,43,59.5,2000,0,0.6931471806,1,0,0.0006286514,0
66882,98,98,1997,1,9.4696229699,8,468.4162953842,0.0022761658,0.5
67218,1,22.882353,1997,7,22.1305449969,16,2524.68978339,0.0046243309,0.05
67597,87,87,2018,4,6.7615727688,8,169.5824496724,0.0020423031,0.2857142857
67717,74,74,1999,0,0,0,0,0.0003438001,0
710109,29,59.46154,2003,3,33.4966938425,26,3776.357448328,0.005893874,0.1538461538
7118,22,33.2,2014,2,2.7725887222,4,57.678735479,0.0011902893,0.3333333333
716,82,82,2001,0,1.0986122887,1,0,0.000634018,0
7213,46,46,1999,3,2.0794415417,3,30.9079425703,0.0014876017,0.3333333333
725940,80,88.5,2016,4,21.1604156413,14,1738.8159674451,0.0030684276,0.3736263736
727590,7,10,2010,4,28.5968329539,15,901.2055434193,0.0034369981,0.2666666667
7379,89,89,1999,0,2.4849066498,3,27.7277722801,0.0009087002,0.3333333333
750,20,45.1,1997,3,2.7725887222,2,0,0.0009524426,1
750093,48,56.75,2009,7,18.9708403052,9,885.618328418,0.0028340554,0.3611111111
757837,60,71,2009,7,15.845853763,5,14.4475056092,0.0016314787,0.7
7624,20,47.25,1997,0,29.2620933888,21,1037.9065740043,0.0044653304,0.2952380952
764475,27,57,2010,2,30.4475765824,12,358.5501101374,0.0027115889,0.6212121212
773474,66,76,2010,7,17.3399560147,7,69.1418854846,0.0022833821,0.619047619
780860,52,63.4,2000,0,0,0,0,0.0003438001,0
782562,78,78,2018,4,13.2230409452,12,312.8933129067,0.0027482399,0.3333333333
78873,99,99,2004,7,6.3561076607,5,185.5659997319,0.0015756351,0
79439,37,46.166668,2011,2,11.0174481182,5,78.8582352661,0.0013989209,0.4
7961,37,60.6,2001,0,7.1670378769,7,56.0284594134,0.001657302,0.3333333333
79743,92,95.5,1998,0,0,0,0,0.0003438001,0
7986,17,21.333334,1997,0,14.5856187797,13,165.918133682,0.0028285695,0.3846153846
801,17,40.333332,2008,4,17.2932689008,9,783.7075242307,0.0024892673,0.1111111111
8035,43,55.75,2000,0,1.3862943611,2,4.6361471861,0.0007421991,0
804540,1,5.5,2011,2,32.6955159178,18,3036.0735749152,0.0039756753,0.2483660131
80936,32,52.714287,1997,7,20.1432187441,13,1206.4417344901,0.0034251378,0.1025641026
813125,24,24,2006,0,0,0,0,0.0003438001,0
817,45,62,1999,0,0,0,0,0.0003438001,0
817642,81,85,2012,7,21.2597592075,9,253.8561114532,0.0026458664,0.3611111111
8221,4,19.666666,2004,7,26.2843796207,9,304.6679658567,0.0024817437,0.3611111111
8278,20,58.833332,1997,0,1.3862943611,2,9.7914383543,0.0007801736,0
8337,71,85.5,1997,0,7.6088706292,6,15.6217737671,0.0016983362,0.6
8339,30,59.6,2000,0,7.0492548413,6,18.8006071951,0.0016482492,0.6666666667
835,12,41.894737,1999,3,2.0794415417,2,0,0.0009524426,1
8462,42,42,2002,4,7.7424020218,7,152.5889419357,0.0017950872,0.2857142857
85524,45,62,2008,7,19.7488034722,10,735.1236456429,0.003069491,0.1777777778
86545,16,26.333334,2009,4,11.7032151914,6,248.2345648444,0.0016748332,0.1333333333
867055,84,91,2017,0,0,0,0,0.0003438001,0
87,96,96,1997,3,1.7917594692,2,6.3623015873,0.0011253341,0
871,67,80,1997,3,10.6327737797,8,868.2007081688,0.0030860221,0.1071428571
87488,62,62,1997,0,8.0300840943,9,148.5310301259,0.0021992206,0.3611111111
88,52,52.666668,1997,3,2.302585093,2,126.7289551636,0.0010655201,0
88153,27,73.5,2015,4,4.0253516907,3,17.6823184057,0.0010980596,0.6666666667
8885,62,63.5,2004,0,0,0,0,0.0003438001,0
890828,41,71.4,2011,2,39.8912531,13,1239.2732457764,0.0029273895,0.5641025641
90,63,76,2002,3,1.3862943611,1,0,0.0005870043,0
9070,1,3.8888888,2001,7,25.2861983068,10,410.4360114266,0.0026630276,0.2444444444
911822,97,97,2018,3,1.3862943611,2,0,0.000769642,1
911928,73,82.5,2017,0,0,0,0,0.0003438001,0
91213,58,66.666664,2001,0,0,0,0,0.0003438001,0
9175,10,29.25,1997,0,15.8665526251,14,643.7653676112,0.0030985103,0.2417582418
92349,93,93,1998,0,0,0,0,0.0003438001,0
930381,7,13.25,2010,7,34.6435520125,14,2128.2040149787,0.0037383283,0.2087912088
